card_name	set_name	rarity
Vylon Stella	Duel Terminal Chronicle 4 - Chapter of Opposites_ocg	Duel Terminal Normal Parallel Rare
Vylon Tetra	Duel Terminal Chronicle 4 - Chapter of Opposites_ocg	Duel Terminal Normal Parallel Rare
Winda, Priestess of Gusto	Duel Terminal Chronicle 4 - Chapter of Opposites_ocg	Duel Terminal Normal Parallel Rare
Windaar, Sage of Gusto	Duel Terminal Chronicle 4 - Chapter of Opposites_ocg	Duel Terminal Rare Parallel Rare
Constellar Omega	Duel Terminal Overlay Guide 2 promotional card_ocg	Duel Terminal Ultra Parallel Rare
Steelswarm Roach	Duel Terminal Overlay Guide promotional card_ocg	Duel Terminal Ultra Parallel Rare
Token (card)	Duel the Master- Orichalcos Challenge 2006 promotional card_tcg	Common
Domain of the True Monarchs	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Edea the Heavenly Squire	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Ehther the Heavenly Monarch	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Eidos the Underworld Squire	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Erebus the Underworld Monarch	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Fire Formation - Tenki	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Gagaga Girl	Duelist Advance +1 Assist Pack_ocg	Prismatic Secret Rare
Gagaga Girl	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Gagagaga Magician	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Luna Light Perfume	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Black Sheep	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Emerald Bird	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Kaleido Chick	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Leo Dancer	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Serenade Dance	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Tiger	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Wolf	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Lunalight Yellow Marten	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Number 39: Utopia Rising	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Pantheism of the Monarchs	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
Tenacity of the Monarchs	Duelist Advance +1 Assist Pack_ocg	Ultra Rare
DUEA-ENSP1	Duelist Alliance Sneak Peek Participation Card_tcg	Dragon Horn Hunter
Aria the Melodious Diva	Duelist Alliance_tcg	C
Artifact Chakram	Duelist Alliance_tcg	C
Artifact Lancea	Duelist Alliance_tcg	C
Batteryman 9-Volt	Duelist Alliance_tcg	C
Battleguard Howling	Duelist Alliance_tcg	C
Battleguard King	Duelist Alliance_tcg	C
Battleguard Rage	Duelist Alliance_tcg	C
Baxia, Brightness of the Yang Zing	Duelist Alliance_tcg	ScR,UtR
Bi'an, Earth of the Yang Zing	Duelist Alliance_tcg	SR
Bixi, Water of the Yang Zing	Duelist Alliance_tcg	SR
Breaker the Dark Magical Warrior	Duelist Alliance_tcg	R
Castel, the Skyblaster Musketeer	Duelist Alliance_tcg	SR
Chain Dispel	Duelist Alliance_tcg	C
Chaos Seed	Duelist Alliance_tcg	C
Chiwen, Light of the Yang Zing	Duelist Alliance_tcg	UR
Cir, Malebranche of the Burning Abyss	Duelist Alliance_tcg	R
Cloudcastle	Duelist Alliance_tcg	C
Curse of the Shadow Prison	Duelist Alliance_tcg	C
Dante, Traveler of the Burning Abyss	Duelist Alliance_tcg	ScR
Deskbot 001	Duelist Alliance_tcg	C
Djinn Demolisher of Rituals	Duelist Alliance_tcg	C
Dogu	Duelist Alliance_tcg	R
Doomstar Magician	Duelist Alliance_tcg	UR
Dracocension	Duelist Alliance_tcg	C
Dragon Horn Hunter	Duelist Alliance_tcg	SR
El Shaddoll Construct	Duelist Alliance_tcg	UR,UtR
El Shaddoll Winda	Duelist Alliance_tcg	UR
Exchange of Night and Day	Duelist Alliance_tcg	C
Face-Off	Duelist Alliance_tcg	R
Feast of the Wild LV5	Duelist Alliance_tcg	C
Felis, Lightsworn Archer	Duelist Alliance_tcg	UR
Fishborg Doctor	Duelist Alliance_tcg	C
Flash Knight	Duelist Alliance_tcg	R
Foucault's Cannon	Duelist Alliance_tcg	SR
Gaia, the Mid-Knight Sun	Duelist Alliance_tcg	C
Gaia, the Polar Knight	Duelist Alliance_tcg	C
Graff, Malebranche of the Burning Abyss	Duelist Alliance_tcg	R
Hippo Carnival	Duelist Alliance_tcg	C
Hymn of Light	Duelist Alliance_tcg	C
Hypnosister	Duelist Alliance_tcg	SR
Magical Spring	Duelist Alliance_tcg	ScR
Metaphys Armed Dragon	Duelist Alliance_tcg	C
Mozarta the Melodious Maestra	Duelist Alliance_tcg	R
Nefarious Archfiend Eater of Nefariousness	Duelist Alliance_tcg	C
Number 58: Burner Visor	Duelist Alliance_tcg	C
Odd-Eyes Pendulum Dragon	Duelist Alliance_tcg	ScR,UtR
Panzer Dragon	Duelist Alliance_tcg	R
Pendulum Back	Duelist Alliance_tcg	SR
Performapal Hip Hippo	Duelist Alliance_tcg	C
Performapal Kaleidoscorp	Duelist Alliance_tcg	R
Performapal Skeeter Skimmer	Duelist Alliance_tcg	C
Performapal Sword Fish	Duelist Alliance_tcg	C
Performapal Turn Toad	Duelist Alliance_tcg	R
Performapal Whip Snake	Duelist Alliance_tcg	R
Pilgrim Reaper	Duelist Alliance_tcg	C
Pop-Up	Duelist Alliance_tcg	SP
Pulao, Wind of the Yang Zing	Duelist Alliance_tcg	SR
Raiza the Mega Monarch	Duelist Alliance_tcg	ScR
Re-Cover	Duelist Alliance_tcg	C
Resonance Insect	Duelist Alliance_tcg	C
Saffira, Queen of Dragons	Duelist Alliance_tcg	UR,UtR
Samsara, Dragon of Rebirth	Duelist Alliance_tcg	SR
Satellarknight Alsahm	Duelist Alliance_tcg	SR
Satellarknight Altair	Duelist Alliance_tcg	R
Satellarknight Deneb	Duelist Alliance_tcg	UR
Satellarknight Skybridge	Duelist Alliance_tcg	R
Satellarknight Unukalhai	Duelist Alliance_tcg	C
Satellarknight Vega	Duelist Alliance_tcg	C
Scarm, Malebranche of the Burning Abyss	Duelist Alliance_tcg	R
Shaddoll Beast	Duelist Alliance_tcg	R
Shaddoll Core	Duelist Alliance_tcg	SR
Shaddoll Dragon	Duelist Alliance_tcg	R
Shaddoll Falco	Duelist Alliance_tcg	R
Shaddoll Fusion	Duelist Alliance_tcg	SR
Shaddoll Hedgehog	Duelist Alliance_tcg	C
Shaddoll Squamata	Duelist Alliance_tcg	C
Sinister Shadow Games	Duelist Alliance_tcg	UR
Sonata the Melodious Diva	Duelist Alliance_tcg	C
Spy-C-Spy	Duelist Alliance_tcg	SP
Stellarknight Alpha	Duelist Alliance_tcg	C
Stellarknight Delteros	Duelist Alliance_tcg	ScR,UtR,GR
Stellarnova Alpha	Duelist Alliance_tcg	UR
Stellarnova Wave	Duelist Alliance_tcg	C
Suanni, Fire of the Yang Zing	Duelist Alliance_tcg	SR
Superheavy Samurai Big Benkei	Duelist Alliance_tcg	R
Superheavy Samurai Blue Brawler	Duelist Alliance_tcg	C
Superheavy Samurai Swordsman	Duelist Alliance_tcg	C
That Six	Duelist Alliance_tcg	SP
The Agent of Entropy - Uranus	Duelist Alliance_tcg	C
The Monarchs Stormforth	Duelist Alliance_tcg	C
The Traveler and the Burning Abyss	Duelist Alliance_tcg	SR
Time-Space Trap Hole	Duelist Alliance_tcg	ScR
U.A. Mighty Slugger	Duelist Alliance_tcg	R
U.A. Perfect Ace	Duelist Alliance_tcg	R
U.A. Stadium	Duelist Alliance_tcg	C
Wightprince	Duelist Alliance_tcg	SP
Yang Zing Creation	Duelist Alliance_tcg	UR
Yang Zing Path	Duelist Alliance_tcg	ScR
Yang Zing Prana	Duelist Alliance_tcg	C
Yang Zing Unleashed	Duelist Alliance_tcg	C
DUEA-ENDE1	Duelist Alliance- Deluxe Edition_tcg	Performapal Hip Hippo
DUEA-ENDE2	Duelist Alliance- Deluxe Edition_tcg	Yang Zing Unleashed
DUEA-ENDE3	Duelist Alliance- Deluxe Edition_tcg	Superheavy Samurai Soulfire Suit
DUEA-ENDE4	Duelist Alliance- Deluxe Edition_tcg	Shaddoll Hound
DUEA-ENDE5	Duelist Alliance- Deluxe Edition_tcg	Deskbot 002
DUEA-ENDE6	Duelist Alliance- Deluxe Edition_tcg	Wonder Balloons
DUEA-ENDE7	Duelist Alliance- Deluxe Edition_tcg	Hexatellarknight
Botanical Lion	Duelist Box 2012_ocg	Common
Breaker the Magical Warrior	Duelist Box 2012_ocg	Common
Call of the Haunted	Duelist Box 2012_ocg	Common
Cyber Dragon	Duelist Box 2012_ocg	Common
Dust Tornado	Duelist Box 2012_ocg	Common
Exiled Force	Duelist Box 2012_ocg	Common
Fiendish Chain	Duelist Box 2012_ocg	Common
Fissure	Duelist Box 2012_ocg	Common
Lightning Vortex	Duelist Box 2012_ocg	Common
M-X-Saber Invoker	Duelist Box 2012_ocg	Secret Rare
Mage Power	Duelist Box 2012_ocg	Common
Magic Cylinder	Duelist Box 2012_ocg	Common
Marauding Captain	Duelist Box 2012_ocg	Common
Meteor of Destruction	Duelist Box 2012_ocg	Common
Mine Golem	Duelist Box 2012_ocg	Common
Mirror Force	Duelist Box 2012_ocg	Common
Mist Valley Executor	Duelist Box 2012_ocg	Common
Monster Reincarnation	Duelist Box 2012_ocg	Common
Morphing Jar	Duelist Box 2012_ocg	Common
Mystical Space Typhoon	Duelist Box 2012_ocg	Common
Negate Attack	Duelist Box 2012_ocg	Common
Number 39: Utopia	Duelist Box 2012_ocg	Secret Rare
Raigeki Break	Duelist Box 2012_ocg	Common
Reinforcement of the Army	Duelist Box 2012_ocg	Common
Rush Recklessly	Duelist Box 2012_ocg	Common
Sabersaurus	Duelist Box 2012_ocg	Common
Sangan	Duelist Box 2012_ocg	Common
Sasuke Samurai	Duelist Box 2012_ocg	Common
Skelengel	Duelist Box 2012_ocg	Common
Smashing Ground	Duelist Box 2012_ocg	Common
Snowman Eater	Duelist Box 2012_ocg	Common
Star Changer	Duelist Box 2012_ocg	Common
Swords of Revealing Light	Duelist Box 2012_ocg	Common
Torrential Tribute	Duelist Box 2012_ocg	Common
Voltic Kong	Duelist Box 2012_ocg	Common
Wave-Motion Cannon	Duelist Box 2012_ocg	Common
Wind-Up Arsenal Zenmaioh	Duelist Box 2012_ocg	Secret Rare
Wind-Up Dog	Duelist Box 2012_ocg	Common
Wind-Up Snail	Duelist Box 2012_ocg	Common
Wind-Up Soldier	Duelist Box 2012_ocg	Common
X-Saber Anu Piranha	Duelist Box 2012_ocg	Common
X-Saber Galahad	Duelist Box 2012_ocg	Common
Zaborg the Thunder Monarch	Duelist Box 2012_ocg	Common
Stardust Dragon/Assault Mode	Duelist Box_ocg	Secret Rare
Advanced Ritual Art	Duelist Box- Prismatic Summon_ocg	Not Found
Armillyre, the Starleader Dragon	Duelist Box- Prismatic Summon_ocg	Not Found
Armored Xyz	Duelist Box- Prismatic Summon_ocg	Not Found
Capshell	Duelist Box- Prismatic Summon_ocg	Not Found
Clara & Rushka, the Ventriloduo	Duelist Box- Prismatic Summon_ocg	Not Found
Crystron Halqifibrax Prism	Duelist Box- Prismatic Summon_ocg	Not Found
Cupid Pitch	Duelist Box- Prismatic Summon_ocg	Not Found
Cycle of the World	Duelist Box- Prismatic Summon_ocg	Not Found
Demise, Supreme King of Armageddon	Duelist Box- Prismatic Summon_ocg	Not Found
Destrudo the Lost Dragon's Frisson	Duelist Box- Prismatic Summon_ocg	Not Found
Dinomight Powerload, the Dracoslayer	Duelist Box- Prismatic Summon_ocg	Not Found
Donner, Dagger Fur Hire	Duelist Box- Prismatic Summon_ocg	Not Found
Dyna Mondo	Duelist Box- Prismatic Summon_ocg	Not Found
End of the World	Duelist Box- Prismatic Summon_ocg	Not Found
End of the World Ruler	Duelist Box- Prismatic Summon_ocg	Not Found
Exceed the Pendulum	Duelist Box- Prismatic Summon_ocg	Not Found
Ferocious Flame Swordsman	Duelist Box- Prismatic Summon_ocg	Not Found
Formud Skipper	Duelist Box- Prismatic Summon_ocg	Not Found
Full Armored Dark Knight Lancer	Duelist Box- Prismatic Summon_ocg	Not Found
Full-Armored Xyz	Duelist Box- Prismatic Summon_ocg	Not Found
Galaxy-Eyes Antimatter Dragon	Duelist Box- Prismatic Summon_ocg	Not Found
Garura, Wings of Resonant Life	Duelist Box- Prismatic Summon_ocg	Not Found
Golden Cloud Beast - Malong	Duelist Box- Prismatic Summon_ocg	Not Found
Guardian Chimera	Duelist Box- Prismatic Summon_ocg	Not Found
Haggard Lizardose	Duelist Box- Prismatic Summon_ocg	Not Found
Hop Ear Squadron	Duelist Box- Prismatic Summon_ocg	Not Found
Hraesvelgr, the Desperate Doom Eagle	Duelist Box- Prismatic Summon_ocg	Not Found
Ignis Phoenix, the Dracoslayer	Duelist Box- Prismatic Summon_ocg	Not Found
Impcantation Candoll	Duelist Box- Prismatic Summon_ocg	Not Found
Impcantation Talismandra	Duelist Box- Prismatic Summon_ocg	Not Found
Infernal Strike Fighter	Duelist Box- Prismatic Summon_ocg	Not Found
Infinitrack River Stormer	Duelist Box- Prismatic Summon_ocg	Not Found
Instant Fusion	Duelist Box- Prismatic Summon_ocg	Not Found
King of the Swamp	Duelist Box- Prismatic Summon_ocg	Not Found
Luster Pendulum, the Dracoslayer	Duelist Box- Prismatic Summon_ocg	Not Found
Majespecter Raccoon - Bunbuku	Duelist Box- Prismatic Summon_ocg	Not Found
Majespecter Unicorn - Kirin	Duelist Box- Prismatic Summon_ocg	Not Found
Majesty Pegasus, the Dracoslayer	Duelist Box- Prismatic Summon_ocg	Not Found
Manju of the Ten Thousand Hands	Duelist Box- Prismatic Summon_ocg	Not Found
Muddy Mudragon	Duelist Box- Prismatic Summon_ocg	Not Found
Nightmare-Eyes Restrict	Duelist Box- Prismatic Summon_ocg	Not Found
Number 3: Cicada King	Duelist Box- Prismatic Summon_ocg	Not Found
Number 75: Bamboozling Gossip Shadow	Duelist Box- Prismatic Summon_ocg	Not Found
Patissciel Couverture	Duelist Box- Prismatic Summon_ocg	Not Found
Performapal Celestial Magician	Duelist Box- Prismatic Summon_ocg	Not Found
Proxy F Magician	Duelist Box- Prismatic Summon_ocg	Not Found
Ready Fusion	Duelist Box- Prismatic Summon_ocg	Not Found
Red Nova (card)	Duelist Box- Prismatic Summon_ocg	Not Found
Relinquished Fusion	Duelist Box- Prismatic Summon_ocg	Not Found
Ringowurm, the Dragon Guarding the Hundred Apples	Duelist Box- Prismatic Summon_ocg	Not Found
Ruin, Supreme Queen of Oblivion	Duelist Box- Prismatic Summon_ocg	Not Found
Sanwitch	Duelist Box- Prismatic Summon_ocg	Not Found
Shamisen Samsara Sorrowcat	Duelist Box- Prismatic Summon_ocg	Not Found
Smoke Mosquito	Duelist Box- Prismatic Summon_ocg	Not Found
Subterror Behemoth Fiendess	Duelist Box- Prismatic Summon_ocg	Not Found
Tatsunoko	Duelist Box- Prismatic Summon_ocg	Not Found
Tri-Edge Master	Duelist Box- Prismatic Summon_ocg	Not Found
Wind Unicorn Parallel, the Dracoslayer	Duelist Box- Prismatic Summon_ocg	Not Found
Xyz Armor Fortress	Duelist Box- Prismatic Summon_ocg	Not Found
Xyz Armor Torpedo	Duelist Box- Prismatic Summon_ocg	Not Found
Bujin Yamato	Duelist Card Protector EX- Bujintei Susanowo_ocg	Normal Parallel Rare
Ghostrick Witch	Duelist Card Protector EX- Ghostrick_ocg	Normal Parallel Rare
Elemental HERO Nova Master	Duelist Card Protector EX- Master of HERO_ocg	Normal Parallel Rare
Pain Painter	Duelist Card Protector EX- Shadow of the Six Samurai - Shien_ocg	Normal Parallel Rare
Aussa the Earth Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
Dharc the Dark Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
Eria the Water Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
Hiita the Fire Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
Lyna the Light Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
Wynn the Wind Charmer	Duelist Card Protector Six Attribute Set_ocg	Secret Rare
A Cell Breeding Device	Duelist Edition Volume 1_ocg	Common
A Cell Scatter Burst	Duelist Edition Volume 1_ocg	Common
Accumulated Fortune	Duelist Edition Volume 1_ocg	Common
Advanced Ritual Art	Duelist Edition Volume 1_ocg	Ultra Rare
Alien Grey	Duelist Edition Volume 1_ocg	Common
Alien Hunter	Duelist Edition Volume 1_ocg	Common
Alien Mars	Duelist Edition Volume 1_ocg	Common
Alien Mother	Duelist Edition Volume 1_ocg	Rare
Alien Skull	Duelist Edition Volume 1_ocg	Common
Alien Warrior	Duelist Edition Volume 1_ocg	Common
Ancient City - Rainbow Ruins	Duelist Edition Volume 1_ocg	Common
Ancient Rules	Duelist Edition Volume 1_ocg	Rare
Archfiend General	Duelist Edition Volume 1_ocg	Common
Babycerasaurus	Duelist Edition Volume 1_ocg	Common
Backs to the Wall	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Abyss	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Drought	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Heavens	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Inferno	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Stormwinds	Duelist Edition Volume 1_ocg	Common
Barrier Statue of the Torrent	Duelist Edition Volume 1_ocg	Common
Birthright	Duelist Edition Volume 1_ocg	Rare
Black Horn of Heaven	Duelist Edition Volume 1_ocg	Common
Black Stego	Duelist Edition Volume 1_ocg	Common
Blasting Fuse	Duelist Edition Volume 1_ocg	Common
Blaze Accelerator	Duelist Edition Volume 1_ocg	Common
Brainwashing Beam	Duelist Edition Volume 1_ocg	Common
Card Trader	Duelist Edition Volume 1_ocg	Common
Chain Detonation	Duelist Edition Volume 1_ocg	Common
Chain Strike	Duelist Edition Volume 1_ocg	Super Rare
Chimeratech Overdragon	Duelist Edition Volume 1_ocg	Ultra Rare
Corruption Cell "A"	Duelist Edition Volume 1_ocg	Common
Crop Circles	Duelist Edition Volume 1_ocg	Common
Crystal Abundance	Duelist Edition Volume 1_ocg	Rare
Crystal Beacon	Duelist Edition Volume 1_ocg	Common
Crystal Beast Amber Mammoth	Duelist Edition Volume 1_ocg	Common
Crystal Beast Amethyst Cat	Duelist Edition Volume 1_ocg	Common
Crystal Beast Cobalt Eagle	Duelist Edition Volume 1_ocg	Common
Crystal Beast Emerald Tortoise	Duelist Edition Volume 1_ocg	Common
Crystal Beast Ruby Carbuncle	Duelist Edition Volume 1_ocg	Common
Crystal Beast Sapphire Pegasus	Duelist Edition Volume 1_ocg	Super Rare
Crystal Beast Topaz Tiger	Duelist Edition Volume 1_ocg	Common
Crystal Blessing	Duelist Edition Volume 1_ocg	Common
Crystal Promise	Duelist Edition Volume 1_ocg	Common
Crystal Raigeki	Duelist Edition Volume 1_ocg	Common
Cyber Shadow Gardna	Duelist Edition Volume 1_ocg	Common
Cyber Summon Blaster	Duelist Edition Volume 1_ocg	Common
Cyberdark Dragon	Duelist Edition Volume 1_ocg	Rare
Cyberdark Edge	Duelist Edition Volume 1_ocg	Common
Cyberdark Horn	Duelist Edition Volume 1_ocg	Common
Cyberdark Keel	Duelist Edition Volume 1_ocg	Common
Cyclone Blade	Duelist Edition Volume 1_ocg	Common
D - Chain	Duelist Edition Volume 1_ocg	Common
D - Spirit	Duelist Edition Volume 1_ocg	Common
D.D. Crow	Duelist Edition Volume 1_ocg	Ultra Rare
Dark World Dealings	Duelist Edition Volume 1_ocg	Common
Degenerate Circuit	Duelist Edition Volume 1_ocg	Common
Destiny Draw	Duelist Edition Volume 1_ocg	Secret Rare
Destiny HERO - Blade Master	Duelist Edition Volume 1_ocg	Common
Destiny HERO - Dasher	Duelist Edition Volume 1_ocg	Common
Destiny HERO - Defender	Duelist Edition Volume 1_ocg	Common
Destiny HERO - Dogma	Duelist Edition Volume 1_ocg	Ultra Rare
Destiny HERO - Double Dude	Duelist Edition Volume 1_ocg	Common
Destiny HERO - Fear Monger	Duelist Edition Volume 1_ocg	Common
Destiny HERO - Plasma	Duelist Edition Volume 1_ocg	Secret Rare
Destroyersaurus	Duelist Edition Volume 1_ocg	Common
Dweller in the Depths	Duelist Edition Volume 1_ocg	Common
Electric Virus	Duelist Edition Volume 1_ocg	Rare
Elemental HERO Aqua Neos	Duelist Edition Volume 1_ocg	Rare
Elemental HERO Captain Gold	Duelist Edition Volume 1_ocg	Common
Elemental HERO Dark Neos	Duelist Edition Volume 1_ocg	Rare
Elemental HERO Flare Neos	Duelist Edition Volume 1_ocg	Rare
Elemental HERO Grand Neos	Duelist Edition Volume 1_ocg	Rare
Elemental HERO Neos	Duelist Edition Volume 1_ocg	Super Rare
Eliminating the League	Duelist Edition Volume 1_ocg	Common
Fake Hero	Duelist Edition Volume 1_ocg	Common
Field Barrier	Duelist Edition Volume 1_ocg	Common
Flashbang	Duelist Edition Volume 1_ocg	Common
Fossil Excavation	Duelist Edition Volume 1_ocg	Common
Frostosaurus	Duelist Edition Volume 1_ocg	Rare
Future Fusion	Duelist Edition Volume 1_ocg	Ultra Rare
Gene-Warped Warwolf	Duelist Edition Volume 1_ocg	Rare
Goe Goe the Gallant Ninja	Duelist Edition Volume 1_ocg	Common
Gravekeeper's Commandant	Duelist Edition Volume 1_ocg	Common
Gravi-Crush Dragon	Duelist Edition Volume 1_ocg	Common
Great Shogun Shien	Duelist Edition Volume 1_ocg	Rare
Gren, Tactician of Dark World	Duelist Edition Volume 1_ocg	Common
Hard-sellin' Goblin	Duelist Edition Volume 1_ocg	Common
Hard-sellin' Zombie	Duelist Edition Volume 1_ocg	Common
Harpie Queen	Duelist Edition Volume 1_ocg	Common
Instant Fusion	Duelist Edition Volume 1_ocg	Super Rare
Introduction to Gallantry	Duelist Edition Volume 1_ocg	Common
Justi-Break	Duelist Edition Volume 1_ocg	Common
Kahkki, Guerilla of Dark World	Duelist Edition Volume 1_ocg	Common
Level Down!?	Duelist Edition Volume 1_ocg	Common
Lightning Punisher	Duelist Edition Volume 1_ocg	Common
Lucky Iron Axe	Duelist Edition Volume 1_ocg	Common
Magna-Slash Dragon	Duelist Edition Volume 1_ocg	Common
Marionette Mite	Duelist Edition Volume 1_ocg	Rare
Mausoleum of the Emperor	Duelist Edition Volume 1_ocg	Super Rare
Mei-Kou, Master of Barriers	Duelist Edition Volume 1_ocg	Common
Miracle Contact	Duelist Edition Volume 1_ocg	Secret Rare
Miracle Jurassic Egg	Duelist Edition Volume 1_ocg	Common
Miraculous Rebirth	Duelist Edition Volume 1_ocg	Common
Neo Space	Duelist Edition Volume 1_ocg	Common
Neo-Spacian Air Hummingbird	Duelist Edition Volume 1_ocg	Common
Neo-Spacian Aqua Dolphin	Duelist Edition Volume 1_ocg	Common
Neo-Spacian Dark Panther	Duelist Edition Volume 1_ocg	Common
Neo-Spacian Flare Scarab	Duelist Edition Volume 1_ocg	Common
Neo-Spacian Grand Mole	Duelist Edition Volume 1_ocg	Super Rare
Neos Force	Duelist Edition Volume 1_ocg	Common
Overload Fusion	Duelist Edition Volume 1_ocg	Super Rare
Pulling the Rug	Duelist Edition Volume 1_ocg	Common
Puppet Plant	Duelist Edition Volume 1_ocg	Rare
Raiza the Storm Monarch	Duelist Edition Volume 1_ocg	Super Rare
Rallis the Star Bird	Duelist Edition Volume 1_ocg	Common
Rampaging Rhynos	Duelist Edition Volume 1_ocg	Common
Rare Value	Duelist Edition Volume 1_ocg	Common
Reign-Beaux, Overlord of Dark World	Duelist Edition Volume 1_ocg	Rare
Return of the Six Samurai	Duelist Edition Volume 1_ocg	Common
Ritual Foregone	Duelist Edition Volume 1_ocg	Common
Royal Writ of Taxation	Duelist Edition Volume 1_ocg	Common
Sabersaurus	Duelist Edition Volume 1_ocg	Common
Secrets of the Gallant	Duelist Edition Volume 1_ocg	Common
Shien's Footsoldier	Duelist Edition Volume 1_ocg	Common
Sky Scourge Invicil	Duelist Edition Volume 1_ocg	Rare
Skyscraper 2 - Hero City	Duelist Edition Volume 1_ocg	Common
Snipe Hunter	Duelist Edition Volume 1_ocg	Super Rare
Soul of Fire	Duelist Edition Volume 1_ocg	Common
Spiral Serpent	Duelist Edition Volume 1_ocg	Common
Straight Flush	Duelist Edition Volume 1_ocg	Common
Submarineroid	Duelist Edition Volume 1_ocg	Common
Super Vehicroid Jumbo Drill	Duelist Edition Volume 1_ocg	Rare
Synthetic Seraphim	Duelist Edition Volume 1_ocg	Common
Terrible Deal	Duelist Edition Volume 1_ocg	Common
The Paths of Destiny	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Irou	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Kamon	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Nisashi	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Yaichi	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Yariza	Duelist Edition Volume 1_ocg	Common
The Six Samurai - Zanji	Duelist Edition Volume 1_ocg	Common
The Transmigration Prophecy	Duelist Edition Volume 1_ocg	Rare
Tornado	Duelist Edition Volume 1_ocg	Common
Tri-Blaze Accelerator	Duelist Edition Volume 1_ocg	Rare
Trojan Blast	Duelist Edition Volume 1_ocg	Common
Twister	Duelist Edition Volume 1_ocg	Common
Ultimate Tyranno	Duelist Edition Volume 1_ocg	Rare
Vanity's Call	Duelist Edition Volume 1_ocg	Common
Vanity's Fiend	Duelist Edition Volume 1_ocg	Common
Vanity's Ruler	Duelist Edition Volume 1_ocg	Common
Vehicroid Connection Zone	Duelist Edition Volume 1_ocg	Common
Volcanic Blaster	Duelist Edition Volume 1_ocg	Common
Volcanic Doomfire	Duelist Edition Volume 1_ocg	Rare
Volcanic Hammerer	Duelist Edition Volume 1_ocg	Common
Volcanic Scattershot	Duelist Edition Volume 1_ocg	Common
Volcanic Shell	Duelist Edition Volume 1_ocg	Super Rare
Volcanic Slicer	Duelist Edition Volume 1_ocg	Common
Warrior of Atlantis	Duelist Edition Volume 1_ocg	Common
Zeradias, Herald of Heaven	Duelist Edition Volume 1_ocg	Common
A Cell Incubator	Duelist Edition Volume 2_ocg	Common
Advanced Dark	Duelist Edition Volume 2_ocg	Secret Rare
Alien Hypno	Duelist Edition Volume 2_ocg	Common
Alien Shocktrooper	Duelist Edition Volume 2_ocg	Common
Alien Telepath	Duelist Edition Volume 2_ocg	Common
All-Out Attacks	Duelist Edition Volume 2_ocg	Common
Amulet of Ambition	Duelist Edition Volume 2_ocg	Common
Ancient Gear Knight	Duelist Edition Volume 2_ocg	Common
Arcana Force 0 - The Fool	Duelist Edition Volume 2_ocg	Common
Arcana Force XIV - Temperance	Duelist Edition Volume 2_ocg	Common
Arcana Force XXI - The World	Duelist Edition Volume 2_ocg	Rare
Armageddon Knight	Duelist Edition Volume 2_ocg	Rare
Atlantean Pikeman	Duelist Edition Volume 2_ocg	Common
Batteryman Charger	Duelist Edition Volume 2_ocg	Common
Batteryman Industrial Strength	Duelist Edition Volume 2_ocg	Common
Batteryman Micro-Cell	Duelist Edition Volume 2_ocg	Common
Blue Thunder T-45	Duelist Edition Volume 2_ocg	Common
Broken Bamboo Sword	Duelist Edition Volume 2_ocg	Common
Celestia, Lightsworn Angel	Duelist Edition Volume 2_ocg	Common
Cell Explosion Virus	Duelist Edition Volume 2_ocg	Common
Chain Material	Duelist Edition Volume 2_ocg	Common
Chain Summoning	Duelist Edition Volume 2_ocg	Common
